127.0.0.1 - - [20/Jan/2020:09:29:37 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:29:38 +0530] "GET /BootstrapPro/Bootstrap/BsTemplate.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:19:57 +0530] "GET /BootstrapPro/MyWebPage.html HTTP/1.1" 200 2592
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:21:48 +0530] "GET /BootstrapPro/register.html HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:22:35 +0530] "GET /BootstrapPro/login.html HTTP/1.1" 200 693
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:23:27 +0530] "GET /BootstrapPro/register.html HTTP/1.1" 200 2111
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:25:28 +0530] "GET /BootstrapPro/login.html HTTP/1.1" 200 1972
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:25:28 +0530] "GET /BootstrapPro/img_avatar2.png HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:26:52 +0530] "GET /BootstrapPro/login.html HTTP/1.1" 200 9032
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:28:53 +0530] "GET /BootstrapPro/MyWebPage.html HTTP/1.1" 200 2591
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:29:41 +0530] "GET /BootstrapPro/MyWebPage.html HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:30:34 +0530] "GET /BootstrapPro/MyWebPage.html HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:32:28 +0530] "GET /BootstrapPro/MyWebPage.html HTTP/1.1" 200 12662
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:34:04 +0530] "GET /BootstrapPro/MyWebPage.html HTTP/1.1" 200 12662
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:39:09 +0530] "GET /BootstrapPro/MyWebPage.html HTTP/1.1" 200 12660
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:40:06 +0530] "GET /BootstrapPro/MyWebPage.html HTTP/1.1" 200 12663
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:40:59 +0530] "GET /BootstrapPro/MyWebPage.html HTTP/1.1" 200 12660
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:01:54 +0530] "GET /BootstrapPro/MyWebPage.html HTTP/1.1" 200 12660
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:02:10 +0530] "GET /BootstrapPro/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:02:14 +0530] "GET /BootstrapPro/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:02:46 +0530] "GET /BootstrapPro/MyWebPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:02:47 +0530] "GET /BootstrapPro/MyWebPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:03:13 +0530] "GET /BootstrapPro/MyWebPage.html HTTP/1.1" 200 12662
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:03:36 +0530] "GET /BootstrapPro/MyWebPage.html HTTP/1.1" 200 12660
